variant,model_seed,checkpoint_episode,training_steps,curve_file
double_centered_full_action_dqn,815,300,19200,dqn_family_satellite_ground/results/revision_round2/training_length_models/double_centered_full_action_dqn__gamma_0p97__seed_815__checkpoint_300__curve.csv
double_centered_full_action_dqn,815,600,38400,dqn_family_satellite_ground/results/revision_round2/training_length_models/double_centered_full_action_dqn__gamma_0p97__seed_815__checkpoint_600__curve.csv
double_centered_full_action_dqn,815,900,57600,dqn_family_satellite_ground/results/revision_round2/training_length_models/double_centered_full_action_dqn__gamma_0p97__seed_815__checkpoint_900__curve.csv
double_centered_full_action_dqn,816,300,19200,dqn_family_satellite_ground/results/revision_round2/training_length_models/double_centered_full_action_dqn__gamma_0p97__seed_816__checkpoint_300__curve.csv
double_centered_full_action_dqn,816,600,38400,dqn_family_satellite_ground/results/revision_round2/training_length_models/double_centered_full_action_dqn__gamma_0p97__seed_816__checkpoint_600__curve.csv
double_centered_full_action_dqn,816,900,57600,dqn_family_satellite_ground/results/revision_round2/training_length_models/double_centered_full_action_dqn__gamma_0p97__seed_816__checkpoint_900__curve.csv
double_centered_full_action_dqn,817,300,19200,dqn_family_satellite_ground/results/revision_round2/training_length_models/double_centered_full_action_dqn__gamma_0p97__seed_817__checkpoint_300__curve.csv
double_centered_full_action_dqn,817,600,38400,dqn_family_satellite_ground/results/revision_round2/training_length_models/double_centered_full_action_dqn__gamma_0p97__seed_817__checkpoint_600__curve.csv
double_centered_full_action_dqn,817,900,57600,dqn_family_satellite_ground/results/revision_round2/training_length_models/double_centered_full_action_dqn__gamma_0p97__seed_817__checkpoint_900__curve.csv
double_centered_full_action_dqn,818,300,19200,dqn_family_satellite_ground/results/revision_round2/training_length_models/double_centered_full_action_dqn__gamma_0p97__seed_818__checkpoint_300__curve.csv
double_centered_full_action_dqn,818,600,38400,dqn_family_satellite_ground/results/revision_round2/training_length_models/double_centered_full_action_dqn__gamma_0p97__seed_818__checkpoint_600__curve.csv
double_centered_full_action_dqn,818,900,57600,dqn_family_satellite_ground/results/revision_round2/training_length_models/double_centered_full_action_dqn__gamma_0p97__seed_818__checkpoint_900__curve.csv
double_centered_full_action_dqn,819,300,19200,dqn_family_satellite_ground/results/revision_round2/training_length_models/double_centered_full_action_dqn__gamma_0p97__seed_819__checkpoint_300__curve.csv
double_centered_full_action_dqn,819,600,38400,dqn_family_satellite_ground/results/revision_round2/training_length_models/double_centered_full_action_dqn__gamma_0p97__seed_819__checkpoint_600__curve.csv
double_centered_full_action_dqn,819,900,57600,dqn_family_satellite_ground/results/revision_round2/training_length_models/double_centered_full_action_dqn__gamma_0p97__seed_819__checkpoint_900__curve.csv
